rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
56,Covahz,Hunter,BeastMastery,Dark Ranger,10343263.58438,421808,729,Sargeras,No Skill,Araz's Ritual Forge,Unyielding Netherprism,KWx2J8VkwgMaFDt9,15
57,Asxa,DeathKnight,Frost,Rider of the Apocalypse,10337900.278273,341751,729,Area 52,Muscle Memory,Unyielding Netherprism,Araz's Ritual Forge,3m1GNwZFVnhLd47T,4
58,Elwin,Hunter,BeastMastery,Dark Ranger,10336036.193672,396340,729,Stormrage,The Meme Team,Unyielding Netherprism,Improvised Seaforium Pacemaker,KNk9VCB4tfAcT1XJ,14
59,Grapphite,Hunter,BeastMastery,Dark Ranger,10334465.546116,376184,729,Frostmourne,Comfy,Araz's Ritual Forge,Unyielding Netherprism,PvLmYVZJTR1zjhkC,39
60,Sharkaphor,Hunter,BeastMastery,Dark Ranger,10306856.378951,336803,729,Emerald Dream,Nascent,Ara-Kara Sacbrood,Unyielding Netherprism,Qa4bcjv8LdZ6Tnqr,4
61,Revolt,Hunter,BeastMastery,Dark Ranger,10303319.071188,405292,729,Bleeding Hollow,Fierce,Araz's Ritual Forge,Unyielding Netherprism,t49ajkXKp23dqbxv,38
62,Kbyz,Hunter,Survival,Pack Leader,10289876.998465,342638,729,Illidan,sup breh,Araz's Ritual Forge,Improvised Seaforium Pacemaker,xPLM6g3NhQqjwY9X,1
63,Archmageytÿ,Mage,Arcane,Spellslinger,10288367.430175,377337,729,Frostmourne,Onlyfriend,Diamantine Voidcore,Astral Antenna,A41Q7HP9qn3rVNhD,33
64,Jrhunttwo,Hunter,BeastMastery,Dark Ranger,10287174.145572,367790,729,Illidan,get help,Araz's Ritual Forge,Unyielding Netherprism,dbRm9K1hc4PDyp2B,43
65,Lucyhunter,Hunter,BeastMastery,Dark Ranger,10282592.362972,379048,729,Tichondrius,no keybinds,Araz's Ritual Forge,Unyielding Netherprism,Fq7RDWBQb6vTPyHA,13
66,Grimshunter,Hunter,BeastMastery,Dark Ranger,10279129.440561,362792,729,Illidan,Snowblind,Unyielding Netherprism,Araz's Ritual Forge,QZJcjt1aMzb6NdRH,1
67,Flaed,Hunter,BeastMastery,Dark Ranger,10270992.353626,348662,729,Area 52,Nascent,Araz's Ritual Forge,Unyielding Netherprism,dr4BxHVkNpJ8yzCZ,13
68,Charrend,Rogue,Subtlety,Deathstalker,10265167.119397,330219,729,Mal'Ganis,Consequence,Araz's Ritual Forge,Unyielding Netherprism,Kf4bP7WTkvHdqQA2,47
69,Swankiie,Hunter,BeastMastery,Dark Ranger,10230341.753603,440168,729,Mal'Ganis,Wavvy,Unyielding Netherprism,Ara-Kara Sacbrood,Gm8aqLArzWHVwfQc,9
70,Razorice,DeathKnight,Frost,Rider of the Apocalypse,10227365.18917,386690,729,Area 52,Mid Team,Unyielding Netherprism,Araz's Ritual Forge,XZFnmh9BfrxA1CPW,40
71,Salbench,Hunter,BeastMastery,Dark Ranger,10218468.018519,347326,729,Tichondrius,Unbalanced,Araz's Ritual Forge,Unyielding Netherprism,2wcndzL4jqJaRYxX,13
72,Joebow,Hunter,BeastMastery,Dark Ranger,10208795.574811,345070,729,Illidan,SOMA,Araz's Ritual Forge,Unyielding Netherprism,NLFHJ8rVRnqK1AjT,5
73,Instamodel,DeathKnight,Frost,Rider of the Apocalypse,10205801.529183,331288,729,Mal'Ganis,nVus,Astral Antenna,Unyielding Netherprism,8KrWXfPVZzGjnp2Q,4
74,Zesyis,DeathKnight,Frost,Rider of the Apocalypse,10196984.010093,340840,729,Mal'Ganis,Skill Issue,Unyielding Netherprism,Astral Antenna,9f4y7KgWkFGNYw2D,6
75,Kairuku,Hunter,BeastMastery,Dark Ranger,10191341.406363,358684,729,Tichondrius,Stimulated Apes,Araz's Ritual Forge,Unyielding Netherprism,TJPn2Y63v19kXcDp,6
76,Havocc,Mage,Arcane,Spellslinger,10185050.235047,330785,729,Barthilas,Medium,Azhiccaran Parapodia,Diamantine Voidcore,ta6rXfT24c1xkjVh,31
77,Lrdynasty,Hunter,BeastMastery,Dark Ranger,10184784.627199,371110,729,Illidan,Nirvana Reborn,Araz's Ritual Forge,Unyielding Netherprism,A2wn84hfabpmCdMF,4
78,Nasuyoichi,Hunter,BeastMastery,Dark Ranger,10184701.639646,402587,728,Illidan,Lüst On Ready Check,Unyielding Netherprism,Ara-Kara Sacbrood,mkpqTVLJxMfdHg7b,24
79,Airstrait,Hunter,BeastMastery,Dark Ranger,10179855.359363,365174,729,Ragnaros,Ascended,Unyielding Netherprism,Araz's Ritual Forge,hDqJHNrpvAXWP6dg,7
80,Tweedhunter,Hunter,BeastMastery,Dark Ranger,10176768.073684,401606,729,Mal'Ganis,Awakeníng,Araz's Ritual Forge,Unyielding Netherprism,KHfFxmG9kbq4yphR,31
81,Im,Hunter,BeastMastery,Dark Ranger,10175856.296746,405384,728,Maiev,The Vindicated,Unyielding Netherprism,Improvised Seaforium Pacemaker,k3J2Fn8DdKXt94BW,36
82,Traltixx,Hunter,BeastMastery,Dark Ranger,10165301.531209,310147,729,Area 52,Occasional Excellence,Astral Antenna,Unyielding Netherprism,jJGaCbmHL18tx6r3,25
83,Trs,Hunter,BeastMastery,Dark Ranger,10160532.30085,396197,728,Stormrage,Esquadrão Squirtle,Unyielding Netherprism,Araz's Ritual Forge,ymYFk1TKdjahZnw6,16
84,Tactìle,Rogue,Assassination,Deathstalker,10159513.654557,335529,729,Illidan,Wing It,Unyielding Netherprism,Astral Antenna,kBzAfNXgdVM81mCc,5
85,Fakeirysfan,Hunter,BeastMastery,Dark Ranger,10157701.040229,379051,728,Frostmourne,A Little Bit Sweaty,Unyielding Netherprism,Araz's Ritual Forge,qY4Czx1c8KrMf9DZ,11
86,Ruckdk,DeathKnight,Frost,Rider of the Apocalypse,10156612.566281,331920,729,Zul'jin,Country Club,Unyielding Netherprism,Astral Antenna,aTM38vB4FznWtPHN,14
87,Lencely,Mage,Arcane,Spellslinger,10156231.014211,368947,729,Area 52,Reckless Ambition,Diamantine Voidcore,Astral Antenna,fGTcvXJtH3jDWxAR,13
88,Escanuts,Hunter,BeastMastery,Dark Ranger,10155292.833838,396614,729,Illidan,Vibe Police,Araz's Ritual Forge,Unyielding Netherprism,KkbxXWvNR1ja4zTm,45
89,Jamesmcleave,DeathKnight,Frost,Rider of the Apocalypse,10150912.751778,403183,729,Aegwynn,Force,Astral Antenna,Unyielding Netherprism,h8BHTKqzMLG9Abj3,12
