rank,name,class,spec,hero_spec,amount,duration,ilvl,server,guild,trinket_1,trinket_2,report,fight_id
59,Grämphunt,Hunter,BeastMastery,Dark Ranger,10559502.759605,392991,729,Twisting Nether,Carried by RNG,Unyielding Netherprism,Araz's Ritual Forge,zmHCf6WcRyGvbJ2F,3
60,Watchx,Hunter,BeastMastery,Dark Ranger,10549980.081733,361176,729,Blackrock,So Much Discussion,Unyielding Netherprism,Araz's Ritual Forge,yCpbV4QW9A37zjxh,23
61,Cabnh,Hunter,BeastMastery,Dark Ranger,10544378.396259,394515,729,Magtheridon,Una Familia,Araz's Ritual Forge,Unyielding Netherprism,K8tJPgHQhXLDNWTa,1
62,Pavah,Hunter,BeastMastery,Dark Ranger,10533956.653798,348658,729,Twisting Nether,The Next Step,Araz's Ritual Forge,Unyielding Netherprism,2xnWdqQzK4w61cfb,1
63,Bolszaka,Hunter,BeastMastery,Dark Ranger,10532101.406301,391879,729,Burning Legion,Blight,Unyielding Netherprism,Araz's Ritual Forge,PaVch1dxq78fXBwm,38
64,Touina,Hunter,BeastMastery,Dark Ranger,10530904.024426,371730,729,Dalaran,Bloody Tearz,Unyielding Netherprism,Improvised Seaforium Pacemaker,QBhXAgJHW3pkjfCN,1
65,Twistaimlabs,Hunter,BeastMastery,Dark Ranger,10513177.282591,363589,729,Draenor,Ascendance,Araz's Ritual Forge,Unyielding Netherprism,BmhjbvaZX3xJ8GPz,44
66,Èd,Hunter,BeastMastery,Dark Ranger,10504425.629247,370522,729,Tarren Mill,HKM,Unyielding Netherprism,Araz's Ritual Forge,dxfPgMWmTz9XyBaw,8
67,Мейникс,Rogue,Assassination,Deathstalker,10501706.750962,364748,729,Ревущий фьорд,Гнев Анархии,Unyielding Netherprism,Astral Antenna,b7pkDyW1aQYFHJ8f,1
68,Bigboat,DeathKnight,Frost,Rider of the Apocalypse,10500770.371876,344470,729,Twisting Nether,Revelations,Astral Antenna,Unyielding Netherprism,R79VLMQgJbHAr1nW,10
69,Eclyssian,Hunter,BeastMastery,Dark Ranger,10496701.954708,398832,729,Silvermoon,Dodge breath res me,Unyielding Netherprism,Sigil of the Cosmic Hunt,2zZw879VaQ1dHrNm,47
70,Tsuiran,Hunter,BeastMastery,Dark Ranger,10495853.015475,371318,728,Silvermoon,OPENLY HOSTILE,Sigil of the Cosmic Hunt,Unyielding Netherprism,PJmDr2WCNpXB8FZd,19
71,Dunced,Hunter,BeastMastery,Dark Ranger,10495626.691662,350469,729,Tarren Mill,Indecisive,Araz's Ritual Forge,Unyielding Netherprism,RFMkaKp4xTnZ7gmf,8
72,Rickyhunt,Hunter,BeastMastery,Dark Ranger,10494693.844028,379875,729,Ragnaros,Project,Unyielding Netherprism,Astral Antenna,VRb96xAN3Q1vXpaT,46
73,Dogplay,Hunter,BeastMastery,Dark Ranger,10490805.405343,345806,729,Tarren Mill,Veneration,Unyielding Netherprism,Araz's Ritual Forge,1mqHZz6fjF7Rhd2Q,22
74,Qivectimus,Mage,Arcane,Spellslinger,10479442.68393,383095,729,Kazzak,Uncoordinated,Diamantine Voidcore,Astral Antenna,jHbrRkMXa1PyZdVG,16
75,Шаттом,Warlock,Destruction,Diabolist,10477276.589087,306780,729,Ревущий фьорд,Гнев Анархии,Diamantine Voidcore,Azhiccaran Parapodia,QvMzn9YWp3786FrX,62
76,Scorpyhunt,Hunter,BeastMastery,Dark Ranger,10475316.796495,398988,729,Blackrock,baited,Ara-Kara Sacbrood,Unyielding Netherprism,73WNZKQAHpDRq48m,30
77,Turtlehuntts,Hunter,BeastMastery,Dark Ranger,10470079.48902,412384,729,Kazzak,Project,Unyielding Netherprism,Astral Antenna,3G6Jdxy1jzcm72Vt,6
78,Izé,Hunter,BeastMastery,Dark Ranger,10452717.840036,400840,728,Stormscale,Vex Thal,Astral Antenna,Unyielding Netherprism,JCQNDcbyYt7fqLB9,43
79,Понерфят,DeathKnight,Frost,Rider of the Apocalypse,10432689.003124,390229,729,Ревущий фьорд,Инвинсибл,Astral Antenna,Unyielding Netherprism,q2Vr74fXFPvtmLMn,3
80,Faiken,Hunter,BeastMastery,Dark Ranger,10427164.971011,360136,729,Kazzak,Solid Lads,Araz's Ritual Forge,Unyielding Netherprism,JAcLWFt4vkGz9NbZ,5
81,Mirdna,Hunter,BeastMastery,Dark Ranger,10426233.434822,347823,728,Draenor,Internet Friends,Araz's Ritual Forge,Unyielding Netherprism,7WPMn3X1Dah6fR2j,41
